iter	RMSE
141	0.2265976611
142	0.2263025151
143	0.2260451167
144	0.2257701857
145	0.2255881656
146	0.2252610058
147	0.2249417744
148	0.2245863693
149	0.2242103191
150	0.2237915565
151	0.2236041883
152	0.223363012
153	0.2229667743
154	0.2226698159
155	0.222178497
156	0.2217514222
157	0.2215606972
158	0.2212685622
159	0.2209839532
160	0.2205928543
161	0.220259843
162	0.2199679845
163	0.2196547834
164	0.2191935871
165	0.2189161552
166	0.218611265
167	0.2184292195
168	0.2181356003
169	0.2179193717
170	0.217670042
171	0.217451042
172	0.2171292651
173	0.2167197952
174	0.216392266
175	0.2160929874
176	0.2157425314
177	0.2154770458
178	0.2151077879
179	0.214807899
180	0.2145963974
181	0.214252034
182	0.2139695284
183	0.213755467
184	0.2135674865
185	0.2133035287
186	0.2129896373
187	0.2127426676
188	0.2124713199
189	0.2122081189
190	0.2119867143
191	0.211781782
192	0.2115429054
193	0.2112710835
194	0.2109666865
195	0.2106871232
196	0.210365465
197	0.2100686276
198	0.2096728551
199	0.2094478636
200	0.2091863309
201	0.2089014231
202	0.2087195768
203	0.2085366224
204	0.208309024
205	0.2080290526
206	0.2076158239
207	0.2072644796
208	0.2070264076
209	0.2066825579
210	0.20629687
211	0.2059239792
212	0.2056440042
213	0.2053783532
214	0.205070191
215	0.2047534641
216	0.2045556155
217	0.2042539514
218	0.2040486934
219	0.2037844197
220	0.2035128577
221	0.2031555595
222	0.2029249067
223	0.2025781366
224	0.2024264648
225	0.2021501913
226	0.2018050847
227	0.2015641572
228	0.2013718396
229	0.2010832627
230	0.2008917863
231	0.2007133108
232	0.2002735576
233	0.2000051015
234	0.1995927603
235	0.1992903711
236	0.1989230897
237	0.1986694355
238	0.1982887683
239	0.1979913045
240	0.1976686142
241	0.1973857136
242	0.1971133044
243	0.1968525162
244	0.1965723984
245	0.1962515153
246	0.1960915733
247	0.1957372364
248	0.1954712996
249	0.1952458619
250	0.1950220836
251	0.1947500076
252	0.1946070494
253	0.1942769462
254	0.1940306959
255	0.193730127
256	0.1935775215
257	0.1934028308
258	0.193095182
259	0.1927432804
260	0.1923555161
261	0.1922222176
262	0.1919109789
263	0.1917068846
264	0.1915184156
265	0.1912459026
266	0.1909680192
267	0.1907595512
268	0.1904479642
269	0.1902676513
270	0.1900166739
271	0.1897954683
272	0.1896885978
273	0.1894394879
274	0.189134873
275	0.1888983774
276	0.1886982964
277	0.1882964327
278	0.1879722124
279	0.1877530772
280	0.1875917202
281	0.1871615225
282	0.1869643654
283	0.1866715676
284	0.1864373252
285	0.186078372
286	0.1857162145
287	0.1853626611
288	0.1851024557
289	0.1849246705
290	0.1847561493
291	0.1845214108
292	0.184379598
293	0.1841380703
294	0.1838557743
295	0.1836206699
296	0.1834368005
297	0.1832812868
298	0.1829290109
299	0.1827193966
300	0.1824577385
301	0.1823343515
302	0.1820837404
303	0.1818234997
304	0.1816641923
305	0.1814048332
306	0.1810571113
307	0.1808296232
308	0.1807568988
309	0.1804631658
310	0.1801344434
311	0.1799981428
312	0.1796978041
313	0.1795076119
314	0.1793743222
315	0.1790659679
316	0.178801683
317	0.1786731256
318	0.1784222877
319	0.1782680408
320	0.1780354785
321	0.1778596115
322	0.1775652217
323	0.1773728371
324	0.1770616081
325	0.1768308866
326	0.1766963103
327	0.1764340786
328	0.1762380462
329	0.176010381
330	0.1757593142
331	0.1756151315
332	0.1752637678
333	0.1751073039
334	0.1748694161
335	0.1747035443
336	0.1744742685
337	0.1742471577
338	0.173889956
339	0.1737422226
340	0.1735158182
341	0.1733197129
342	0.1730147432
343	0.172900308
344	0.1726545517
345	0.1724854193
346	0.1722543159
347	0.1721370244
348	0.1718834755
349	0.1715884132
350	0.1713981279
351	0.1712409449
352	0.1709205715
353	0.1707147811
354	0.1704545103
355	0.1701810949
356	0.170077172
357	0.1698217627
358	0.1695913864
359	0.1694683487
360	0.1693036702
361	0.1689870063
362	0.168844863
363	0.1686168818
364	0.1685225845
365	0.1683746062
366	0.1681390015
367	0.167956684
368	0.167633361
369	0.1674321014
370	0.1673214941
371	0.1671146927
372	0.1669051051
373	0.1666576232
374	0.1663973633
375	0.1661505677
376	0.1658513991
377	0.1656113178
